Temperature,Humidity,HeartRate,AccelX,AccelY,AccelZ,HealthStatus
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.4,0.16,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-1.0,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-1.0,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.16,-0.98,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.16,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.98,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.16,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.16,-0.99,1
32.8,31.0,80.0,-0.42,0.16,-0.99,1
32.8,31.0,80.0,-0.42,0.16,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,0
28.0,31.0,80.0,-0.23,-0.08,-1.06,1
28.0,32.0,80.0,-0.24,-0.08,-1.06,1
28.0,30.0,80.0,-0.23,-0.08,-1.06,1
28.0,31.0,80.0,-0.5,-0.38,-0.81,0
28.0,32.0,80.0,-0.25,-0.09,-1.05,1
28.0,30.0,80.0,-0.53,-0.78,-0.68,0
28.0,31.0,80.0,-0.42,-0.67,-0.74,0
28.0,32.0,80.0,-0.32,-0.55,-0.76,0
28.0,30.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,32.0,80.0,-0.23,-0.09,-1.06,1
